# Bing Image Creator Prompts for Resh Community Blog
# Only includes posts that actually exist in content/posts/
# Format: SLUG | PROMPT

# DeFi
bitcoin-vs-ethereum|Split comparison BTC orange versus ETH blue cryptocurrencies, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
bitcoin-halving-explained|Bitcoin being split in half showing halving supply reduction concept, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
ethereum-gas-fees-explained|Gas pump with fee counter and ETH network transaction costs, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
layer-1-vs-layer-2-blockchains|Layer cake concept showing L1 base versus L2 scaling solutions, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
polygon-explained|Polygon multi-shape logo with scaling arrows for Ethereum solution, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
arbitrum-explained|Arbitrum branding with bridge concept for Ethereum layer 2 rollup, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
crypto-trading-beginner-roadmap-2025|Roadmap path with milestones for 12-week trading learning journey, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
crypto-trading-glossary-2025|Glossary dictionary concept with trading terms and vocabulary, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
what-type-of-crypto-trader-are-you-quiz|Quiz concept with multiple trader types and personality personas, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
q2-2025-crypto-market-outlook|Crystal ball or telescope looking at charts for market predictions, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background

# Security & Wallets
security-hub|Security shield lock hub with protection spokes and safety features, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
wallets-hub|Wallet hub with different wallet types and storage options, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
what-is-a-crypto-wallet|Digital wallet icon with keys and lock for cryptocurrency storage, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
how-to-create-a-crypto-wallet|Step by step wallet creation and setup process illustration, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
how-to-store-cryptocurrency|Storage vault safe protection for holding cryptocurrency securely, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
hot-wallet-vs-cold-wallet|Split comparison hot online fire versus cold offline ice wallet storage, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
best-crypto-wallet-for-beginners|Beginner friendly wallet with simple design for new crypto users, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
ledger-vs-trezor|Comparison split Ledger red versus Trezor black hardware wallet, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
what-is-seed-phrase|Word list recovery phrase key concept for wallet backup, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
how-to-keep-crypto-safe|Shield protection layers and security for keeping crypto safe, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
2fa-for-crypto-security|Two factor lock with phone plus password authentication concept, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
is-cryptocurrency-safe|Question mark with shield for safety analysis of cryptocurrency, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
how-to-avoid-crypto-scams|Scam warning red flags and protection for avoiding crypto fraud, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
hardware-wallet-vs-exchange-storage-2025|Hardware device versus exchange building for crypto storage comparison, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
10-wallet-security-myths-debunked-2025|Myth busting concept with crossed out wallet security myths, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
crypto-security-survey-results-2025|Survey chart concept with data visualization for security results, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background

# Buying & Exchanges
how-to-buy-bitcoin|Bitcoin plus payment method with buying process for beginners, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
how-to-buy-ethereum|Ethereum plus payment method for buying ETH cryptocurrency, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
how-to-choose-a-crypto-exchange|Comparison of exchanges with checklist for choosing crypto platform, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
